qkey,attribute,channel,class_idx,class_label,magnitude,talktuner_default_magnitude,declaration,n_options,option_letters,options,response_distribution,question,seed
CARRYGUN_W26,age,steered,0,child,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10513604, 0.02492936, 0.04780686, 0.8221277]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.12562387, 0.02592316, 0.0529334, 0.79551953]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.15277152, 0.02685409, 0.05581862, 0.76455575]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17240527, 0.03295236, 0.05591716, 0.73872524]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.1651974, 0.04907128, 0.06251843, 0.72321284]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,0,child,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.13644919, 0.11625616, 0.09250663, 0.65478808]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,declared,1,adolescent,,7,I am an adolescent.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.0570666, 0.01226942, 0.09860224, 0.83206171]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09241376, 0.02786985, 0.05523669, 0.82447964]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.08937908, 0.04005095, 0.0908753, 0.77969462]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07853518, 0.06815555, 0.17167279, 0.68163645]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04268379, 0.06851728, 0.17666043, 0.71213847]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.02069891, 0.04047706, 0.10877275, 0.83005124]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,1,adolescent,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.01402477, 0.02330429, 0.0604246, 0.9022463]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,declared,2,adult,,7,I am an adult.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.14305004, 0.03571245, 0.14277092, 0.67846656]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07277923, 0.02528729, 0.0484341, 0.85349935]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04964001, 0.02545287, 0.04329678, 0.88161045]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04293933, 0.02846443, 0.04049565, 0.88810062]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.03520748, 0.03534528, 0.04246833, 0.88697886]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.02792843, 0.04887254, 0.05182172, 0.87137729]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,2,adult,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.0437411, 0.12399984, 0.12424227, 0.70801675]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,declared,3,older_adult,,7,I am an older adult.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.23111914, 0.04200779, 0.19576554, 0.53110754]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.1137592, 0.03125226, 0.05759409, 0.79739451]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17848593, 0.06186406, 0.09259727, 0.66705269]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.27571383, 0.13437219, 0.18402407, 0.40588999]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.27055502, 0.15936203, 0.35563785, 0.21444507]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.18607056, 0.09301554, 0.62457007, 0.09634379]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,steered,3,older_adult,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.22947446, 0.03045531, 0.71796203, 0.02210819]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,declared,0,some schooling,,7,I did not complete high school.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.05290435, 0.06658056, 0.11355412, 0.76696092]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11834458, 0.02403142, 0.0417462, 0.8158778]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.18443215, 0.02570695, 0.03431701, 0.75554389]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.37008607, 0.02314463, 0.02226341, 0.58450586]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.54374081, 0.02368125, 0.02053448, 0.41204351]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.54352939, 0.04199443, 0.03354633, 0.3809298]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,0,some schooling,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.31010041, 0.15456383, 0.05878051, 0.47655526]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,declared,1,high school,,7,I have a high school education.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.06120846, 0.01842754, 0.08931909, 0.83104497]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09598958, 0.02809872, 0.05474666, 0.82116503]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09299025, 0.0364867, 0.05455948, 0.81596357]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10690182, 0.0665716, 0.07426599, 0.75226057]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17118855, 0.12198504, 0.14387393, 0.56295246]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.28760478, 0.14461677, 0.19046679, 0.37731171]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,1,high school,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.51997221, 0.1023886, 0.1818158, 0.19582334]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,declared,2,college and more,,7,I have a college education or higher.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.29037133, 0.03571095, 0.10093936, 0.57297844]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07232396, 0.03047473, 0.05317234, 0.84402895]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04095748, 0.05484586, 0.07265895, 0.83153772]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.03038192, 0.10666648, 0.10940947, 0.75354218]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.03234584, 0.19430989, 0.15341184, 0.61993241]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04069982, 0.30487311, 0.17852692, 0.4759002]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,education,steered,2,college and more,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.05545473, 0.47347465, 0.20443593, 0.26663473]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,declared,0,low,,8,I have low socioeconomic status.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10339732, 0.01763745, 0.19544867, 0.68351662]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,0.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,1.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10284646, 0.03116792, 0.05624525, 0.80974042]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,3.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11369103, 0.05116955, 0.06349524, 0.77164418]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,5.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10911535, 0.0672897, 0.05575789, 0.76783705]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,7.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.08895949, 0.0528614, 0.03852345, 0.8196556]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,9.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07086903, 0.02925551, 0.0229181, 0.87695742]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,0,low,13.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.13187562, 0.02264956, 0.01686463, 0.82861012]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,declared,1,mid,,8,I have middle socioeconomic status.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09282344, 0.02358431, 0.14775313, 0.73583919]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,0.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,1.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09484495, 0.02913871, 0.06305708, 0.81295925]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,3.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.0977, 0.0382879, 0.09178066, 0.77223152]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,5.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.08885906, 0.06453627, 0.14493848, 0.70166624]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,7.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.08940707, 0.1288695, 0.24731326, 0.53441012]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,9.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11280748, 0.19548573, 0.3289794, 0.36272734]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,steered,1,mid,13.0,8,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.1689298, 0.27233213, 0.34560743, 0.21313061]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,socioeco,declared,2,high,,8,I have high socioeconomic status.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.0655349, 0.03477984, 0.15515108, 0.74453413]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
